# GeoNames-derived (cities1000 via cities.json + all-the-cities feature codes, CC BY 4.0, geonames.org) — CA+US, lat-sorted; col6: 1=primary place, 0=city section/neighbourhood
Kīlauea	Hawaii	22.21208	-159.41342	US	1
Princeville	Hawaii	22.21758	-159.47888	US	1
Key West	Florida	24.55524	-81.78163	US	1
Stock Island	Florida	24.56709	-81.73842	US	1
Big Coppitt Key	Florida	24.59653	-81.66009	US	1
Big Pine Key	Florida	24.66987	-81.35397	US	1
Cudjoe Key	Florida	24.67153	-81.49842	US	1
Marathon	Florida	24.71375	-81.09035	US	1
Islamorada	Florida	24.9243	-80.62784	US	1
Tavernier	Florida	25.01152	-80.51506	US	1
Key Largo	Florida	25.08652	-80.44728	US	1
North Key Largo	Florida	25.26734	-80.32339	US	1
Florida City	Florida	25.44789	-80.47922	US	1
Homestead	Florida	25.46872	-80.47756	US	1
Leisure City	Florida	25.49539	-80.42922	US	1
Naranja	Florida	25.51816	-80.42283	US	1
Princeton	Florida	25.53844	-80.40894	US	1
Goulds	Florida	25.56261	-80.38228	US	1
Lakes by the Bay	Florida	25.57233	-80.32533	US	1
Cutler Bay	Florida	25.5783	-80.3377	US	1
Cutler Ridge	Florida	25.58066	-80.34672	US	1
South Miami Heights	Florida	25.59761	-80.38061	US	1
West Perrine	Florida	25.60594	-80.36283	US	1
East Perrine	Florida	25.60872	-80.33894	US	1
Richmond West	Florida	25.6105	-80.42971	US	1
Cutler	Florida	25.6151	-80.31061	US	1
Palmetto Estates	Florida	25.62149	-80.362	US	1
Palmetto Bay	Florida	25.62177	-80.32477	US	1
Richmond Heights	Florida	25.63149	-80.36894	US	1
Country Walk	Florida	25.63399	-80.43228	US	1
Three Lakes	Florida	25.64205	-80.39839	US	1
Pinecrest	Florida	25.66705	-80.30811	US	1
The Crossings	Florida	25.67066	-80.40117	US	1
The Hammocks	Florida	25.67149	-80.4445	US	1
Kendall	Florida	25.67927	-80.31727	US	1
Key Biscayne	Florida	25.69371	-80.16282	US	1
Sunset	Florida	25.70594	-80.35228	US	1
Kendall West	Florida	25.7065	-80.4388	US	1
Glenvar Heights	Florida	25.7076	-80.32561	US	1
South Miami	Florida	25.7076	-80.29338	US	1
Kendale Lakes	Florida	25.70816	-80.407	US	1
